Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
recovery-balance-tshirt,リカバリーバランスTシャツ,<p>DENBA独自技術「Balancetech™」を織り込んだリカバリーバランスウェア。着用するだけで、日常やリカバリータイムの身体をやさしくサポートします。</p><h4>素材</h4><p>綿 100%</p><h4>取扱い</h4><p>洗濯機可 ／ ドライクリーニング不可 ／ 乾燥機可</p>,DENBA JAPAN,リカバリーウェア,"リカバリーウェア,Balancetech",TRUE,カラー,ブラック,サイズ,XS,RB-TS-BK-XS,shopify,0,deny,manual,8800,true,true,https://kanaami3.github.io/denba/images/tshirt_men_white.png,1,リカバリーバランスTシャツ,draft
recovery-balance-tshirt,,,,,,,カラー,ブラック,サイズ,S,RB-TS-BK-S,shopify,0,deny,manual,8800,true,true,,,,
recovery-balance-tshirt,,,,,,,カラー,ブラック,サイズ,M,RB-TS-BK-M,shopify,0,deny,manual,8800,true,true,,,,
recovery-balance-tshirt,,,,,,,カラー,ブラック,サイズ,L,RB-TS-BK-L,shopify,0,deny,manual,8800,true,true,,,,
recovery-balance-tshirt,,,,,,,カラー,ブラック,サイズ,XL,RB-TS-BK-XL,shopify,0,deny,manual,8800,true,true,,,,
recovery-balance-tshirt,,,,,,,カラー,ホワイト,サイズ,XS,RB-TS-WH-XS,shopify,0,deny,manual,8800,true,true,,,,
recovery-balance-tshirt,,,,,,,カラー,ホワイト,サイズ,S,RB-TS-WH-S,shopify,0,deny,manual,8800,true,true,,,,
recovery-balance-tshirt,,,,,,,カラー,ホワイト,サイズ,M,RB-TS-WH-M,shopify,0,deny,manual,8800,true,true,,,,
recovery-balance-tshirt,,,,,,,カラー,ホワイト,サイズ,L,RB-TS-WH-L,shopify,0,deny,manual,8800,true,true,,,,
recovery-balance-tshirt,,,,,,,カラー,ホワイト,サイズ,XL,RB-TS-WH-XL,shopify,0,deny,manual,8800,true,true,,,,
recovery-balance-tshirt,,,,,,,,,,,,,,,,,,,https://kanaami3.github.io/denba/images/tshirt_women_black.png,2,リカバリーバランスTシャツ,
recovery-balance-tshirt,,,,,,,,,,,,,,,,,,,https://kanaami3.github.io/denba/images/tshirt_rack_bw.png,3,リカバリーバランスTシャツ,
recovery-balance-tshirt,,,,,,,,,,,,,,,,,,,https://kanaami3.github.io/denba/images/detail_denba_tag.png,4,リカバリーバランスTシャツ,
recovery-balance-longsleeve,リカバリーバランス長袖シャツ,<p>DENBA独自技術「Balancetech™」を織り込んだリカバリーバランスウェア。着用するだけで、日常やリカバリータイムの身体をやさしくサポートします。</p><h4>素材</h4><p>綿 100%</p><h4>取扱い</h4><p>洗濯機可 ／ ドライクリーニング不可 ／ 乾燥機可</p>,DENBA JAPAN,リカバリーウェア,"リカバリーウェア,Balancetech",TRUE,カラー,ブラック,サイズ,XS,RB-LS-BK-XS,shopify,0,deny,manual,8800,true,true,https://kanaami3.github.io/denba/images/longsleeve_men_white.png,1,リカバリーバランス長袖シャツ,draft
recovery-balance-longsleeve,,,,,,,カラー,ブラック,サイズ,S,RB-LS-BK-S,shopify,0,deny,manual,8800,true,true,,,,
recovery-balance-longsleeve,,,,,,,カラー,ブラック,サイズ,M,RB-LS-BK-M,shopify,0,deny,manual,8800,true,true,,,,
